url,Hide Visually 1,Hide Visually 2,Hide Visually 3,React Text,Hide Visually 4,Tile Link 1,Tile Link 1_link,Card Photo,Card Photo_alt,Card Photo_link,Tags List Container,Tags List Container_link,Card Price Man,Card Price Man_link,Card Details,Card Details_link,List Inline,List Inline_link,Tile Link 2,Tile Link 2_link
"https://www.trulia.com/for_rent/New_York,NY/1_beds/1500-3000_price/APARTMENT,APARTMENT_COMMUNITY,APARTMENT%7CCONDO%7CTOWNHOUSE,CONDO,COOP,LOFT,TIC_type/",Riverbank,New York,NY,NY,10036,"Pet Friendly
$2,650 – $6,050+
Studio – 3bd
1 – 2ba",https://www.trulia.com/rental-community/4027149533/Riverbank-560-W-43rd-St-New-York-NY-10036/,https://thumbs.trulia-cdn.com/pictures/thumbs_3/ps.109/5/5/2/5/picture-uh=3479b716e5d7f281916e8f0b3644aa7-ps=5525aa8f2436b48e5d498cb81571a7c5.jpg,"560 W 43rd St, New York, NY",https://www.trulia.com/rental-community/4027149533/Riverbank-560-W-43rd-St-New-York-NY-10036/,Pet Friendly; Pet Friendly; Pet Friendly,https://www.trulia.com/rental-community/4027149533/Riverbank-560-W-43rd-St-New-York-NY-10036/; https://www.trulia.com/rental-community/4027149533/Riverbank-560-W-43rd-St-New-York-NY-10036/; https://www.trulia.com/rental-community/4027149533/Riverbank-560-W-43rd-St-New-York-NY-10036/,"$2,650 – $6,050+",https://www.trulia.com/rental-community/4027149533/Riverbank-560-W-43rd-St-New-York-NY-10036/,"$2,650 – $6,050+",https://www.trulia.com/rental-community/4027149533/Riverbank-560-W-43rd-St-New-York-NY-10036/,Studio – 3bd; 1 – 2ba,https://www.trulia.com/rental-community/4027149533/Riverbank-560-W-43rd-St-New-York-NY-10036/; https://www.trulia.com/rental-community/4027149533/Riverbank-560-W-43rd-St-New-York-NY-10036/,Riverbank,https://www.trulia.com/rental-community/4027149533/Riverbank-560-W-43rd-St-New-York-NY-10036/
"https://www.trulia.com/for_rent/New_York,NY/1_beds/1500-3000_price/APARTMENT,APARTMENT_COMMUNITY,APARTMENT%7CCONDO%7CTOWNHOUSE,CONDO,COOP,LOFT,TIC_type/",Manhattan Park,New York,NY,NY,10044,"$2,550 – $5,100+
1 – 3bd
1 – 2ba
1,000 sqft+",https://www.trulia.com/rental-community/4011416641/Manhattan-Park-30-River-Rd-New-York-NY-10044/,https://thumbs.trulia-cdn.com/pictures/thumbs_3/ps.106/5/d/5/b/picture-uh=f31794496e89a2cf86fe157a6fa9c078-ps=5d5bcf8186537c32ede1c1b7d0eb594.jpg,"30 River Rd, New York, NY",https://www.trulia.com/rental-community/4011416641/Manhattan-Park-30-River-Rd-New-York-NY-10044/,,,"$2,550 – $5,100+",https://www.trulia.com/rental-community/4011416641/Manhattan-Park-30-River-Rd-New-York-NY-10044/,"$2,550 – $5,100+",https://www.trulia.com/rental-community/4011416641/Manhattan-Park-30-River-Rd-New-York-NY-10044/,"1 – 3bd; 1 – 2ba; 1,000 sqft+",https://www.trulia.com/rental-community/4011416641/Manhattan-Park-30-River-Rd-New-York-NY-10044/; https://www.trulia.com/rental-community/4011416641/Manhattan-Park-30-River-Rd-New-York-NY-10044/; https://www.trulia.com/rental-community/4011416641/Manhattan-Park-30-River-Rd-New-York-NY-10044/,Manhattan Park,https://www.trulia.com/rental-community/4011416641/Manhattan-Park-30-River-Rd-New-York-NY-10044/
"https://www.trulia.com/for_rent/New_York,NY/1_beds/1500-3000_price/APARTMENT,APARTMENT_COMMUNITY,APARTMENT%7CCONDO%7CTOWNHOUSE,CONDO,COOP,LOFT,TIC_type/",Normandie Court,New York,NY,NY,10128,"Pet Friendly
$2,710 – $5,715+
Studio – 3bd
1 – 2ba
419 – 1,065 sqft+",https://www.trulia.com/rental-community/4008925464/Normandie-Court-205-E-95th-St-New-York-NY-10128/,https://thumbs.trulia-cdn.com/pictures/thumbs_3/ps.105/e/7/6/5/picture-uh=676da235f8318e2e7bce943eb0d8be29-ps=e7652eb7c4a811cd6868d69ce2fd58fe.jpg,"205 E 95th St, New York, NY",https://www.trulia.com/rental-community/4008925464/Normandie-Court-205-E-95th-St-New-York-NY-10128/,Pet Friendly; Pet Friendly; Pet Friendly,https://www.trulia.com/rental-community/4008925464/Normandie-Court-205-E-95th-St-New-York-NY-10128/; https://www.trulia.com/rental-community/4008925464/Normandie-Court-205-E-95th-St-New-York-NY-10128/; https://www.trulia.com/rental-community/4008925464/Normandie-Court-205-E-95th-St-New-York-NY-10128/,"$2,710 – $5,715+",https://www.trulia.com/rental-community/4008925464/Normandie-Court-205-E-95th-St-New-York-NY-10128/,"$2,710 – $5,715+",https://www.trulia.com/rental-community/4008925464/Normandie-Court-205-E-95th-St-New-York-NY-10128/,"Studio – 3bd; 1 – 2ba; 419 – 1,065 sqft+",https://www.trulia.com/rental-community/4008925464/Normandie-Court-205-E-95th-St-New-York-NY-10128/; https://www.trulia.com/rental-community/4008925464/Normandie-Court-205-E-95th-St-New-York-NY-10128/; https://www.trulia.com/rental-community/4008925464/Normandie-Court-205-E-95th-St-New-York-NY-10128/,Normandie Court,https://www.trulia.com/rental-community/4008925464/Normandie-Court-205-E-95th-St-New-York-NY-10128/
"https://www.trulia.com/for_rent/New_York,NY/1_beds/1500-3000_price/APARTMENT,APARTMENT_COMMUNITY,APARTMENT%7CCONDO%7CTOWNHOUSE,CONDO,COOP,LOFT,TIC_type/",West Side Marquis,New York,NY,NY,10025,"Pet Friendly
$2,933+
1bd
1ba
696 sqft+",https://www.trulia.com/rental-community/4009547593/West-Side-Marquis-70-W-95th-St-New-York-NY-10025/,https://thumbs.trulia-cdn.com/pictures/thumbs_3/ps.108/d/6/3/5/picture-uh=e7a645413a313f66dba9b1d22ed48-ps=d6351f4a6b384dd0c0ceeeb53853227b.jpg,"70 W 95th St, New York, NY",https://www.trulia.com/rental-community/4009547593/West-Side-Marquis-70-W-95th-St-New-York-NY-10025/,Pet Friendly; Pet Friendly; Pet Friendly,https://www.trulia.com/rental-community/4009547593/West-Side-Marquis-70-W-95th-St-New-York-NY-10025/; https://www.trulia.com/rental-community/4009547593/West-Side-Marquis-70-W-95th-St-New-York-NY-10025/; https://www.trulia.com/rental-community/4009547593/West-Side-Marquis-70-W-95th-St-New-York-NY-10025/,"$2,933+",https://www.trulia.com/rental-community/4009547593/West-Side-Marquis-70-W-95th-St-New-York-NY-10025/,"$2,933+",https://www.trulia.com/rental-community/4009547593/West-Side-Marquis-70-W-95th-St-New-York-NY-10025/,1bd; 1ba; 696 sqft+,https://www.trulia.com/rental-community/4009547593/West-Side-Marquis-70-W-95th-St-New-York-NY-10025/; https://www.trulia.com/rental-community/4009547593/West-Side-Marquis-70-W-95th-St-New-York-NY-10025/; https://www.trulia.com/rental-community/4009547593/West-Side-Marquis-70-W-95th-St-New-York-NY-10025/,West Side Marquis,https://www.trulia.com/rental-community/4009547593/West-Side-Marquis-70-W-95th-St-New-York-NY-10025/
"https://www.trulia.com/for_rent/New_York,NY/1_beds/1500-3000_price/APARTMENT,APARTMENT_COMMUNITY,APARTMENT%7CCONDO%7CTOWNHOUSE,CONDO,COOP,LOFT,TIC_type/",119 East 83rd Street,Manhattan,NY,NY,10028,"Pet Friendly
$2,950+
1bd
1ba",https://www.trulia.com/rental-community/4003495293/119-East-83rd-Street-119-E-83rd-St-Manhattan-NY-10028/,https://thumbs.trulia-cdn.com/pictures/thumbs_3/ps.109/7/2/6/2/picture-uh=d97ac7116d45f1a152f63f3c341d25-ps=72629bbb3c13392c975868bf9c16bd.jpg,"119 E 83rd St, Manhattan, NY",https://www.trulia.com/rental-community/4003495293/119-East-83rd-Street-119-E-83rd-St-Manhattan-NY-10028/,Pet Friendly; Pet Friendly; Pet Friendly,https://www.trulia.com/rental-community/4003495293/119-East-83rd-Street-119-E-83rd-St-Manhattan-NY-10028/; https://www.trulia.com/rental-community/4003495293/119-East-83rd-Street-119-E-83rd-St-Manhattan-NY-10028/; https://www.trulia.com/rental-community/4003495293/119-East-83rd-Street-119-E-83rd-St-Manhattan-NY-10028/,"$2,950+",https://www.trulia.com/rental-community/4003495293/119-East-83rd-Street-119-E-83rd-St-Manhattan-NY-10028/,"$2,950+",https://www.trulia.com/rental-community/4003495293/119-East-83rd-Street-119-E-83rd-St-Manhattan-NY-10028/,1bd; 1ba,https://www.trulia.com/rental-community/4003495293/119-East-83rd-Street-119-E-83rd-St-Manhattan-NY-10028/; https://www.trulia.com/rental-community/4003495293/119-East-83rd-Street-119-E-83rd-St-Manhattan-NY-10028/,119 East 83rd Street,https://www.trulia.com/rental-community/4003495293/119-East-83rd-Street-119-E-83rd-St-Manhattan-NY-10028/
"https://www.trulia.com/for_rent/New_York,NY/1_beds/1500-3000_price/APARTMENT,APARTMENT_COMMUNITY,APARTMENT%7CCONDO%7CTOWNHOUSE,CONDO,COOP,LOFT,TIC_type/",265 Lafayette St,New York,NY,NY,10012,"Pet Friendly
$2,900+
1bd
1ba
600 sqft+",https://www.trulia.com/rental-community/9001331561/265-Lafayette-St-265-Lafayette-St-New-York-NY-10012/,https://thumbs.trulia-cdn.com/pictures/thumbs_3/ps.108/b/e/3/f/picture-uh=d16de8d8ea78b456508a26f63da76677-ps=be3f659e8ec96fdedfaaa68bd245ce9.jpg,"265 Lafayette St, New York, NY",https://www.trulia.com/rental-community/9001331561/265-Lafayette-St-265-Lafayette-St-New-York-NY-10012/,Pet Friendly; Pet Friendly; Pet Friendly,https://www.trulia.com/rental-community/9001331561/265-Lafayette-St-265-Lafayette-St-New-York-NY-10012/; https://www.trulia.com/rental-community/9001331561/265-Lafayette-St-265-Lafayette-St-New-York-NY-10012/; https://www.trulia.com/rental-community/9001331561/265-Lafayette-St-265-Lafayette-St-New-York-NY-10012/,"$2,900+",https://www.trulia.com/rental-community/9001331561/265-Lafayette-St-265-Lafayette-St-New-York-NY-10012/,"$2,900+",https://www.trulia.com/rental-community/9001331561/265-Lafayette-St-265-Lafayette-St-New-York-NY-10012/,1bd; 1ba; 600 sqft+,https://www.trulia.com/rental-community/9001331561/265-Lafayette-St-265-Lafayette-St-New-York-NY-10012/; https://www.trulia.com/rental-community/9001331561/265-Lafayette-St-265-Lafayette-St-New-York-NY-10012/; https://www.trulia.com/rental-community/9001331561/265-Lafayette-St-265-Lafayette-St-New-York-NY-10012/,265 Lafayette St,https://www.trulia.com/rental-community/9001331561/265-Lafayette-St-265-Lafayette-St-New-York-NY-10012/
"https://www.trulia.com/for_rent/New_York,NY/1_beds/1500-3000_price/APARTMENT,APARTMENT_COMMUNITY,APARTMENT%7CCONDO%7CTOWNHOUSE,CONDO,COOP,LOFT,TIC_type/",The Octagon,New York,NY,NY,10044,"Pet Friendly
$2,150 – $6,779+
Studio – 3bd
1 – 2ba
423 – 1,361 sqft+",https://www.trulia.com/rental-community/4029389702/The-Octagon-888-Main-St-New-York-NY-10044/,https://thumbs.trulia-cdn.com/pictures/thumbs_3/ps.108/5/a/b/0/picture-uh=70be3dfee46b72c67210439d86385f88-ps=5ab067b3c467c359d34f123e194cbefd.jpg,"888 Main St, New York, NY",https://www.trulia.com/rental-community/4029389702/The-Octagon-888-Main-St-New-York-NY-10044/,Pet Friendly; Pet Friendly; Pet Friendly,https://www.trulia.com/rental-community/4029389702/The-Octagon-888-Main-St-New-York-NY-10044/; https://www.trulia.com/rental-community/4029389702/The-Octagon-888-Main-St-New-York-NY-10044/; https://www.trulia.com/rental-community/4029389702/The-Octagon-888-Main-St-New-York-NY-10044/,"$2,150 – $6,779+",https://www.trulia.com/rental-community/4029389702/The-Octagon-888-Main-St-New-York-NY-10044/,"$2,150 – $6,779+",https://www.trulia.com/rental-community/4029389702/The-Octagon-888-Main-St-New-York-NY-10044/,"Studio – 3bd; 1 – 2ba; 423 – 1,361 sqft+",https://www.trulia.com/rental-community/4029389702/The-Octagon-888-Main-St-New-York-NY-10044/; https://www.trulia.com/rental-community/4029389702/The-Octagon-888-Main-St-New-York-NY-10044/; https://www.trulia.com/rental-community/4029389702/The-Octagon-888-Main-St-New-York-NY-10044/,The Octagon,https://www.trulia.com/rental-community/4029389702/The-Octagon-888-Main-St-New-York-NY-10044/
"https://www.trulia.com/for_rent/New_York,NY/1_beds/1500-3000_price/APARTMENT,APARTMENT_COMMUNITY,APARTMENT%7CCONDO%7CTOWNHOUSE,CONDO,COOP,LOFT,TIC_type/",1435 York Avenue,New York,NY,NY,10075,"Pet Friendly
$3,000+
1bd
1ba",https://www.trulia.com/rental-community/9001173056/1435-York-Avenue-1435-York-Ave-New-York-NY-10075/,https://thumbs.trulia-cdn.com/pictures/thumbs_3/ps.102/f/4/c/a/picture-uh=c76f17ebc4bd47d39be1b48d399c709e-ps=f4cab5d59c34b8f258d24cafe99ae6.jpg,"1435 York Ave, New York, NY",https://www.trulia.com/rental-community/9001173056/1435-York-Avenue-1435-York-Ave-New-York-NY-10075/,Pet Friendly; Pet Friendly; Pet Friendly,https://www.trulia.com/rental-community/9001173056/1435-York-Avenue-1435-York-Ave-New-York-NY-10075/; https://www.trulia.com/rental-community/9001173056/1435-York-Avenue-1435-York-Ave-New-York-NY-10075/; https://www.trulia.com/rental-community/9001173056/1435-York-Avenue-1435-York-Ave-New-York-NY-10075/,"$3,000+",https://www.trulia.com/rental-community/9001173056/1435-York-Avenue-1435-York-Ave-New-York-NY-10075/,"$3,000+",https://www.trulia.com/rental-community/9001173056/1435-York-Avenue-1435-York-Ave-New-York-NY-10075/,1bd; 1ba,https://www.trulia.com/rental-community/9001173056/1435-York-Avenue-1435-York-Ave-New-York-NY-10075/; https://www.trulia.com/rental-community/9001173056/1435-York-Avenue-1435-York-Ave-New-York-NY-10075/,1435 York Avenue,https://www.trulia.com/rental-community/9001173056/1435-York-Avenue-1435-York-Ave-New-York-NY-10075/
"https://www.trulia.com/for_rent/New_York,NY/1_beds/1500-3000_price/APARTMENT,APARTMENT_COMMUNITY,APARTMENT%7CCONDO%7CTOWNHOUSE,CONDO,COOP,LOFT,TIC_type/",223 Sullivan Street,New York,NY,NY,10012,"$2,400 – $2,800+
Studio – 1bd
1ba",https://www.trulia.com/rental-community/4014980740/223-Sullivan-Street-223-Sullivan-St-New-York-NY-10012/,https://thumbs.trulia-cdn.com/pictures/thumbs_3/ps.102/f/b/2/2/picture-uh=bb93574e8eb4a78771e0bfc397037f09-ps=fb22b56f4c23dc4a5a37b292f6b2c6fb.jpg,"223 Sullivan St, New York, NY",https://www.trulia.com/rental-community/4014980740/223-Sullivan-Street-223-Sullivan-St-New-York-NY-10012/,,,"$2,400 – $2,800+",https://www.trulia.com/rental-community/4014980740/223-Sullivan-Street-223-Sullivan-St-New-York-NY-10012/,"$2,400 – $2,800+",https://www.trulia.com/rental-community/4014980740/223-Sullivan-Street-223-Sullivan-St-New-York-NY-10012/,Studio – 1bd; 1ba,https://www.trulia.com/rental-community/4014980740/223-Sullivan-Street-223-Sullivan-St-New-York-NY-10012/; https://www.trulia.com/rental-community/4014980740/223-Sullivan-Street-223-Sullivan-St-New-York-NY-10012/,223 Sullivan Street,https://www.trulia.com/rental-community/4014980740/223-Sullivan-Street-223-Sullivan-St-New-York-NY-10012/
"https://www.trulia.com/for_rent/New_York,NY/1_beds/1500-3000_price/APARTMENT,APARTMENT_COMMUNITY,APARTMENT%7CCONDO%7CTOWNHOUSE,CONDO,COOP,LOFT,TIC_type/",219 E 84th St #1A,Manhattan,NY,NY,10028,"Pet Friendly
$2,750
1bd
2ba",https://www.trulia.com/rental/4036501932-219-E-84th-St-1A-Manhattan-NY-10028,https://thumbs.trulia-cdn.com/pictures/thumbs_3/ps.109/7/c/b/7/picture-uh=ae8aab5f99a28d3ac51bdadd1f99cf4b-ps=7cb754e81f7fae28428375dfc1b63bb.jpg,"219 E 84th St #1A, Manhattan, NY",https://www.trulia.com/rental/4036501932-219-E-84th-St-1A-Manhattan-NY-10028,Pet Friendly; Pet Friendly; Pet Friendly; Pet Friendly,https://www.trulia.com/rental/4036501932-219-E-84th-St-1A-Manhattan-NY-10028; https://www.trulia.com/rental/4036501932-219-E-84th-St-1A-Manhattan-NY-10028; https://www.trulia.com/rental/4036501932-219-E-84th-St-1A-Manhattan-NY-10028; https://www.trulia.com/rental/4036501932-219-E-84th-St-1A-Manhattan-NY-10028,"$2,750 ",https://www.trulia.com/rental/4036501932-219-E-84th-St-1A-Manhattan-NY-10028,"$2,750 ",https://www.trulia.com/rental/4036501932-219-E-84th-St-1A-Manhattan-NY-10028,1bd; 2ba,https://www.trulia.com/rental/4036501932-219-E-84th-St-1A-Manhattan-NY-10028; https://www.trulia.com/rental/4036501932-219-E-84th-St-1A-Manhattan-NY-10028,219 E 84th St #1A,https://www.trulia.com/rental/4036501932-219-E-84th-St-1A-Manhattan-NY-10028
